 TASK CREATE TIMESTAMP, TASK CODE,ITEM NUMBER,RAN NUMBER, TAG NUMBER, TASK COMPLETION SECONDS, TASK CREATE USER NAME, TASK SUPERVISOR NAME
2024-09-02 22:00:48.000 Z,REPL,82430760127,ZU7004954,90021088,1401,Q4685527,S1 Tophat NS
2024-09-02 22:01:20.000 Z,REPL,28228932189,XY9473814,M249058,21,Q9873799,S1 Tophat NS
2024-09-02 22:01:21.000 Z,REPL,65400375678,DT0352981,M245753,146,Q8952449,S1 Tophat NS
2024-09-02 22:01:48.000 Z,REPL,82401122489,FG8700837,4FM051,52,Q7853685,S1 Tophat NS
2024-09-02 22:01:57.000 Z,REPL,82283043415,RTB4643432,AGB487,126,Q5481596,S1 Tophat NS
2024-09-02 22:02:24.000 Z,REPL,68104407738,GN9254963,8631015,287,Q0437665,S1 Tophat NS
2024-09-02 22:02:48.000 Z,REPL,49121678156,HH6025148,A6L210,38,Q8399589,S1 Tophat NS
2024-09-02 22:02:50.000 Z,REPL,17240014188,YR9568695,46K010,116,Q4685527,S1 Tophat NS
2024-09-02 22:03:37.000 Z,REPL,285E7651443,UE6490217,15173646,11,Q9873799,S1 Tophat NS
2024-09-02 22:04:00.000 Z,REPL,24060558178,JW9259529,GN7NE001J,690,Q2957111,S1 Tophat NS
2024-09-02 22:04:42.000 Z,REPL,28882878361,IS6560801,7000980,81,Q4685527,S1 Tophat NS
2024-09-02 22:05:30.000 Z,REPL,78162083983,KZ0034528,7006516,42,Q7853685,S1 Tophat NS
2024-09-02 22:06:05.000 Z,REPL,65622570146,AP6471821,18812,36,Q8399589,S1 Tophat NS
2024-09-02 22:06:28.000 Z,REPL,28452969364,ZU9885244,A66617,86,Q2957111,S1 Tophat NS
2024-09-02 22:10:32.000 Z,REPL,89844124147,XY2330306,1651654,127,Q8399589,S1 Tophat NS
2024-09-02 22:10:55.000 Z,REPL,86884625841,DT4157249,1686467,319,Q0437665,S1 Tophat NS
2024-09-02 22:15:26.000 Z,REPL,96400913978,FG1362963,665848M1,251,Q0437665,S1 Tophat NS
2024-09-02 22:17:31.000 Z,REPL,24125886297,RTB3889859,GN7RE00H1,70,Q8952449,S1 Tophat NS
2024-09-02 22:17:36.000 Z,REPL,62227460406,GN8140785,M247451,124,Q2957111,S1 Tophat NS
2024-09-02 22:17:55.000 Z,REPL,96032823678,HH1312707,1569855,442,Q4685527,S1 Tophat NS
2024-09-02 22:18:42.000 Z,REPL,285E7651443,YR1981039,15073126,13,Q9873799,S1 Tophat NS
2024-09-02 22:19:12.000 Z,REPL,985R0134711,UE3980234,4772955,82,Q8399589,S1 Tophat NS
2024-09-02 22:21:09.000 Z,REPL,081B4165557,JW6018969,M249386,231,Q0437665,S1 Tophat NS
2024-09-02 22:21:27.000 Z,REPL,96992012392,IS1376943,6218916,35,Q8399589,S1 Tophat NS
2024-09-02 22:21:35.000 Z,REPL,28935115797,KZ0163493,A67614,120,Q4685527,S1 Tophat NS
2024-09-02 22:22:46.000 Z,REPL,87557373491,AP2094505,1512898,125,Q5481596,S1 Tophat NS
2024-09-02 22:22:54.000 Z,REPL,28437890018,ZU6779952,2159040,280,Q2957111,S1 Tophat NS
2024-09-02 22:23:07.000 Z,REPL,82640633885,XY2298041,M241380,70,Q8952449,S1 Tophat NS
2024-09-02 22:23:51.000 Z,REPL,24340094595,DT2027228,M250440,58,Q4685527,S1 Tophat NS
2024-09-02 22:24:27.000 Z,REPL,96924305239,FG5028932,8631026,125,Q7853685,S1 Tophat NS
2024-09-02 22:24:40.000 Z,REPL,74849004666,RTB9103866,46TAF2,104,Q9873799,S1 Tophat NS
2024-09-02 22:25:08.000 Z,REPL,90401940749,GN6544133,AGGC20,114,Q8952449,S1 Tophat NS
2024-09-02 22:25:35.000 Z,REPL,68921946839,HH6677001,39917184,89,Q8399589,S1 Tophat NS
2024-09-02 22:25:41.000 Z,REPL,24051824617,YR8972656,GN7QE004R,90,Q4685527,S1 Tophat NS
2024-09-02 22:26:07.000 Z,REPL,48950018649,UE7128033,22223,124,Q2957111,S1 Tophat NS
2024-09-02 22:27:18.000 Z,REPL,28935236121,JW1047167,A67608,65,Q4685527,S1 Tophat NS
2024-09-02 22:27:57.000 Z,REPL,91393855382,IS4036563,MD697438,60,Q2957111,S1 Tophat NS
2024-09-02 22:28:08.000 Z,REPL,20695298323,KZ0923526,M246537,17,Q7853685,S1 Tophat NS
2024-09-02 22:28:11.000 Z,REPL,17224291087,AP6657409,2257399,112,Q0408031,S1 Tophat NS
2024-09-02 22:28:21.000 Z,REPL,90810869082,ZU5103139,258819,36,Q8399589,S1 Tophat NS
2024-09-02 22:29:36.000 Z,REPL,24084241919,XY4935199,GN7KE007Z,58,Q4685527,S1 Tophat NS
2024-09-02 22:30:20.000 Z,REPL,284T2933717,DT9604231,2221086,16,Q9873799,S1 Tophat NS
2024-09-02 22:30:44.000 Z,REPL,284T2933717,FG1253762,2221086,11,Q9873799,S1 Tophat NS
2024-09-02 22:30:51.000 Z,REPL,648D8994021,RTB2363057,1424710,104,Q8952449,S1 Tophat NS
2024-09-02 22:31:07.000 Z,REPL,80640520807,GN3346007,M244967,84,Q7853685,S1 Tophat NS
2024-09-02 22:32:03.000 Z,REPL,96992796183,HH5982053,6205670,63,Q0408031,S1 Tophat NS
2024-09-02 22:33:26.000 Z,REPL,738B0823808,YR2249839,9021556,199,Q8399589,S1 Tophat NS
2024-09-02 22:33:40.000 Z,REPL,65401369213,UE9064045,M245673,148,Q8952449,S1 Tophat NS
2024-09-02 22:33:47.000 Z,REPL,28450654051,JW2408474,472751,299,Q2957111,S1 Tophat NS
2024-09-02 22:35:32.000 Z,REPL,65400375678,IS7760495,M245639,80,Q8952449,S1 Tophat NS
2024-09-02 22:36:30.000 Z,REPL,24R53595883,KZ8505772,8095242,103,Q0437665,S1 Tophat NS
2024-09-02 22:36:50.000 Z,REPL,48567855624,AP7540427,14783352,22,Q9873799,S1 Tophat NS
2024-09-02 22:38:49.000 Z,REPL,25L51673312,ZU8830573,8095291,32,Q3368499,S1 Tophat NS
2024-09-02 22:40:36.000 Z,REPL,46092067632,XY6769433,A6JB04,374,Q8399589,S1 Tophat NS
2024-09-02 22:42:21.000 Z,REPL,47910086204,DT8378893,14990996,156,Q0437665,S1 Tophat NS
2024-09-02 22:44:04.000 Z,REPL,55460068883,FG7607844,473743,22,Q8399589,S1 Tophat NS
2024-09-02 22:44:17.000 Z,REPL,90606968659,RTB3010419,E1018695,402,Q5481596,S1 Tophat NS
2024-09-02 22:45:20.000 Z,REPL,68170917399,GN4879101,9501,65,Q3368499,S1 Tophat NS
2024-09-02 22:45:27.000 Z,REPL,74976059653,HH2036288,273276,98,Q4685527,S1 Tophat NS
2024-09-02 22:45:42.000 Z,REPL,822D4069033,YR7167961,M247329,116,Q7592653,S1 Tophat NS
2024-09-02 22:46:59.000 Z,REPL,24094912373,UE5407746,M250563,334,Q9873799,S1 Tophat NS
2024-09-02 22:59:41.000 Z,REPL,1432680659,JW9328603,8260689,96,Q2957111,S1 Tophat NS
2024-09-02 23:00:20.000 Z,REPL,1432680659,IS6521615,8262369,34,Q2957111,S1 Tophat NS
2024-09-02 23:00:34.000 Z,REPL,1432680659,KZ6436604,8277727,68,Q7853685,S1 Tophat NS
2024-09-02 23:00:45.000 Z,REPL,1432680659,AP5110914,8277654,7,Q7853685,S1 Tophat NS
2024-09-02 23:00:56.000 Z,REPL,1432680659,ZU3288725,8277658,9,Q7853685,S1 Tophat NS
2024-09-02 23:01:11.000 Z,REPL,1432680659,XY1261669,8277656,12,Q7853685,S1 Tophat NS
2024-09-02 23:01:12.000 Z,REPL,1432680659,DT5648203,8262370,30,Q2957111,S1 Tophat NS
2024-09-02 23:02:29.000 Z,REPL,25210926959,FG6023185,M250798,144,Q9873799,S1 Tophat NS
2024-09-02 23:08:17.000 Z,REPL,26430192282,RTB9293912,57526691,190,Q3368499,S1 Tophat NS
2024-09-02 23:11:23.000 Z,REPL,284G0487735,GN2421646,473153,32,Q9873799,S1 Tophat NS
2024-09-02 23:44:03.000 Z,REPL,80821560207,HH7829697,AG9995,545,Q8952449,S1 Tophat NS
2024-09-02 23:44:18.000 Z,REPL,80611981636,YR1141104,E1017828,176,Q9873799,S1 Tophat NS
2024-09-02 23:46:03.000 Z,REPL,24126357972,UE4206196,M250458,119,Q8952449,S1 Tophat NS
2024-09-02 23:47:09.000 Z,REPL,65471968505,JW7959435,86399901,73,Q5481596,S1 Tophat NS
2024-09-02 23:50:58.000 Z,REPL,28241354512,IS3147319,9130428,80,Q5481596,S1 Tophat NS
2024-09-02 23:51:13.000 Z,REPL,18793255225,KZ9140783,2261898,18,Q8399589,S1 Tophat NS
2024-09-02 23:53:01.000 Z,REPL,80820127676,AP3078367,AFK661,304,Q8952449,S1 Tophat NS
2024-09-02 23:53:30.000 Z,REPL,63131386873,ZU0856575,M186290,13,Q8399589,S1 Tophat NS
2024-09-02 23:54:28.000 Z,REPL,24317796257,XY0995612,A66676,235,Q0437665,S1 Tophat NS
2024-09-02 23:54:28.000 Z,REPL,25560467189,DT8743042,AF4BA1,32,Q5481596,S1 Tophat NS
2024-09-02 23:57:06.000 Z,REPL,25554679031,FG6341559,5566003,51,Q5481596,S1 Tophat NS
2024-09-02 23:57:24.000 Z,REPL,62244171482,RTB6304104,1850829,98,Q8399589,S1 Tophat NS
2024-09-02 23:57:28.000 Z,REPL,80640342263,GN0632462,M244964,262,Q8952449,S1 Tophat NS
2024-09-02 23:59:26.000 Z,REPL,23706414614,HH7890101,T522479,154,Q0437665,S1 Tophat NS
2024-09-02 23:59:56.000 Z,REPL,28532019909,YR2410211,70017389,144,Q5481596,S1 Tophat NS
2024-09-03 00:02:48.000 Z,REPL,24345140571,UE5531526,T521915,154,Q0437665,S1 Tophat NS
2024-09-03 00:05:19.000 Z,REPL,82945284013,JW5610594,M249742,85,Q8952449,S1 Tophat NS
2024-09-03 00:07:08.000 Z,REPL,96993791479,IS6928552,6206276,98,Q0437665,S1 Tophat NS
2024-09-03 00:08:40.000 Z,REPL,1432680659,KZ2978048,8277664,51,Q7853685,S1 Tophat NS
2024-09-03 00:09:01.000 Z,REPL,23706941931,AP7387067,A64AW6,75,Q0408031,S1 Tophat NS
2024-09-03 00:11:06.000 Z,REPL,56243293987,ZU9439494,702399,153,Q0437665,S1 Tophat NS
2024-09-03 00:12:25.000 Z,REPL,24809737005,XY9283275,AFU682,281,Q5481596,S1 Tophat NS
2024-09-03 00:13:01.000 Z,REPL,90910003023,DT7212159,M249310,21,Q8399589,S1 Tophat NS
2024-09-03 00:15:29.000 Z,REPL,985R0483188,FG8665452,4772877,72,Q8399589,S1 Tophat NS
2024-09-03 00:16:48.000 Z,REPL,96401457195,RTB2296014,M246812,20,Q0437665,S1 Tophat NS
2024-09-03 00:17:15.000 Z,REPL,28780935982,GN1655021,9026648,28,Q8399589,S1 Tophat NS
2024-09-03 00:18:12.000 Z,REPL,28438843661,HH9298691,M243520,34,Q5481596,S1 Tophat NS
2024-09-03 00:18:16.000 Z,REPL,24084106011,YR3229944,GN7LE0027,117,Q2957111,S1 Tophat NS
2024-09-03 00:19:03.000 Z,REPL,738A1610654,UE6722395,9020507,9,Q8399589,S1 Tophat NS
2024-09-03 00:19:59.000 Z,REPL,28975382834,JW4095118,1293333,59,Q2957111,S1 Tophat NS
2024-09-03 00:20:26.000 Z,REPL,11916438711,IS8840747,S5451076,9,Q5481596,S1 Tophat NS
2024-09-03 00:20:49.000 Z,REPL,11916438711,KZ0710397,S5451078,13,Q5481596,S1 Tophat NS
2024-09-03 00:21:08.000 Z,REPL,11916438711,AP4394305,S5451077,14,Q5481596,S1 Tophat NS
2024-09-03 00:21:28.000 Z,REPL,11916438711,ZU0353126,S5451079,14,Q5481596,S1 Tophat NS
2024-09-03 00:21:33.000 Z,REPL,82838996497,XY4604821,5741946,14,Q3368499,S1 Tophat NS
2024-09-03 00:21:41.000 Z,REPL,11916438711,DT8279211,S5451081,8,Q5481596,S1 Tophat NS
2024-09-03 00:22:07.000 Z,REPL,24060165735,FG3672097,GN7RE001N,64,Q2957111,S1 Tophat NS
2024-09-03 00:23:58.000 Z,REPL,63130225748,RTB6213361,M186276,182,Q0408031,S1 Tophat NS
2024-09-03 00:24:00.000 Z,REPL,48950018649,GN7140071,22173,57,Q2957111,S1 Tophat NS
2024-09-03 00:24:07.000 Z,REPL,96972434028,HH3979635,M009772,191,Q7577709,S1 Tophat NS
2024-09-03 00:24:18.000 Z,REPL,24027351769,YR0420281,GN7DE007P,50,Q3368499,S1 Tophat NS
2024-09-03 00:24:47.000 Z,REPL,73918246553,UE7187653,M247577,165,Q7853685,S1 Tophat NS
2024-09-03 00:24:53.000 Z,REPL,11916438711,JW4507119,8020174,24,Q5481596,S1 Tophat NS
2024-09-03 00:25:26.000 Z,REPL,11916438711,IS8452704,8020173,22,Q5481596,S1 Tophat NS
2024-09-03 00:25:59.000 Z,REPL,91392599132,KZ1178139,MD697442,67,Q2957111,S1 Tophat NS
2024-09-03 00:26:06.000 Z,REPL,46240409697,AP7065146,M240530,21,Q7853685,S1 Tophat NS
2024-09-03 00:26:27.000 Z,REPL,62244171482,ZU6264131,1870542,123,Q0408031,S1 Tophat NS
2024-09-03 00:26:31.000 Z,REPL,96993791479,XY5172794,6217321,57,Q7577709,S1 Tophat NS
2024-09-03 00:26:56.000 Z,REPL,24317796257,DT5478171,A6JB32,299,Q0437665,S1 Tophat NS
2024-09-03 00:28:15.000 Z,REPL,27840721688,FG0762158,517308,82,Q0408031,S1 Tophat NS
2024-09-03 00:28:38.000 Z,REPL,96930248161,RTB8025913,39914485,42,Q3368499,S1 Tophat NS
2024-09-03 00:28:39.000 Z,REPL,226A0105448,GN8498215,70113338,13,Q9873799,S1 Tophat NS
2024-09-03 00:28:51.000 Z,REPL,41151050975,HH0212308,M184829,10,Q7853685,S1 Tophat NS
2024-09-03 00:28:52.000 Z,REPL,84938560926,YR7260228,M249737,11,Q8399589,S1 Tophat NS
2024-09-03 00:29:18.000 Z,REPL,46261668275,UE2768635,14022914,145,Q2957111,S1 Tophat NS
2024-09-03 00:29:48.000 Z,REPL,96966177009,JW2010605,39906813,59,Q0408031,S1 Tophat NS
2024-09-03 00:30:36.000 Z,REPL,74810451878,IS8739469,M248921,14,Q3368499,S1 Tophat NS
2024-09-03 00:31:25.000 Z,REPL,96321744822,KZ1344362,85033619,127,Q5481596,S1 Tophat NS
2024-09-03 00:32:54.000 Z,REPL,56243293987,AP0746381,767335,24,Q3368499,S1 Tophat NS
2024-09-03 00:33:27.000 Z,REPL,18793255225,ZU0022236,2268163,209,Q0408031,S1 Tophat NS
2024-09-03 00:33:37.000 Z,REPL,96321455511,XY8075375,83659757,29,Q5481596,S1 Tophat NS
2024-09-03 00:33:56.000 Z,REPL,86884896836,DT7846963,1684262,150,Q0437665,S1 Tophat NS
2024-09-03 00:34:04.000 Z,REPL,11720763394,FG4039289,MB022256,164,Q9873799,S1 Tophat NS
2024-09-03 00:34:48.000 Z,REPL,90569722418,RTB7393484,16969567,225,Q7853685,S1 Tophat NS
2024-09-03 00:35:02.000 Z,REPL,28243257947,GN3548399,9132007,98,Q2957111,S1 Tophat NS
2024-09-03 00:35:20.000 Z,REPL,90940358996,HH0160094,80002841,69,Q0408031,S1 Tophat NS
2024-09-03 00:36:09.000 Z,REPL,62822142846,YR7927914,10667740,20,Q8399589,S1 Tophat NS
2024-09-03 00:36:53.000 Z,REPL,17572746601,UE3267304,13980358,84,Q0408031,S1 Tophat NS
2024-09-03 00:36:56.000 Z,REPL,74586599629,JW5587157,10677256,70,Q7853685,S1 Tophat NS
2024-09-03 00:37:14.000 Z,REPL,90606293577,IS6833761,E1018696,100,Q2957111,S1 Tophat NS
2024-09-03 00:37:18.000 Z,REPL,96210818528,KZ0601199,3407105,109,Q5481596,S1 Tophat NS
2024-09-03 00:37:45.000 Z,REPL,56243293987,AP4341854,565742,121,Q0437665,S1 Tophat NS
2024-09-03 00:38:41.000 Z,REPL,23707069154,ZU7835029,A6JAZ1,83,Q8399589,S1 Tophat NS
2024-09-03 00:39:29.000 Z,REPL,11916438711,XY8493135,8020171,69,Q2957111,S1 Tophat NS
2024-09-03 00:39:46.000 Z,REPL,55226491743,DT4073688,2695986,131,Q0408031,S1 Tophat NS
2024-09-03 00:40:51.000 Z,REPL,54464897965,FG8889576,AFS466,178,Q0437665,S1 Tophat NS
2024-09-03 00:41:57.000 Z,REPL,24083570773,RTB3476959,M251017,10,Q8399589,S1 Tophat NS
2024-09-03 00:42:07.000 Z,REPL,27727031613,GN7135313,M249730,96,Q9873799,S1 Tophat NS
2024-09-03 00:43:10.000 Z,REPL,22650373875,HH0001591,M184024,86,Q2957111,S1 Tophat NS
2024-09-03 00:43:21.000 Z,REPL,68760571781,YR3779309,39909758,66,Q5481596,S1 Tophat NS
2024-09-03 00:44:25.000 Z,REPL,63131386873,UE1984951,M186474,156,Q0408031,S1 Tophat NS
2024-09-03 00:47:20.000 Z,REPL,283D0845575,JW4930785,91408,139,Q8399589,S1 Tophat NS
2024-09-03 00:47:40.000 Z,REPL,24127558863,IS5878521,M236450,225,Q8952449,S1 Tophat NS
2024-09-03 00:47:41.000 Z,REPL,73832414472,KZ1432546,35321268,158,Q0408031,S1 Tophat NS
2024-09-03 00:48:59.000 Z,REPL,237F4572727,AP6280037,A66641,12,Q8399589,S1 Tophat NS
2024-09-03 00:49:42.000 Z,REPL,48382104032,ZU6674886,A64AV7,110,Q0408031,S1 Tophat NS
2024-09-03 00:50:09.000 Z,REPL,90878009167,XY8376489,T521936,87,Q9873799,S1 Tophat NS
2024-09-03 00:50:12.000 Z,REPL,14912367323,DT4430011,A6CAJ5,61,Q5481596,S1 Tophat NS
2024-09-03 00:50:41.000 Z,REPL,26439785192,FG1774438,80003477,79,Q2957111,S1 Tophat NS
2024-09-03 00:51:32.000 Z,REPL,90878009167,RTB4621895,T519838,526,Q4685527,S1 Tophat NS
2024-09-03 00:52:10.000 Z,REPL,73400767302,GN3598387,M251175,55,Q0408031,S1 Tophat NS
2024-09-03 00:52:37.000 Z,REPL,37205146075,HH6276487,A6JAV4,39,Q5481596,S1 Tophat NS
2024-09-03 00:53:52.000 Z,REPL,26560403769,YR1318004,A5UAU0,30,Q8399589,S1 Tophat NS
2024-09-03 00:54:11.000 Z,REPL,739L6242764,UE9235217,M250712,113,Q0408031,S1 Tophat NS
2024-09-03 00:54:49.000 Z,REPL,28452969364,JW6761195,A66617,44,Q4685527,S1 Tophat NS
2024-09-03 00:55:02.000 Z,REPL,78120972737,IS3795577,306078,256,Q2957111,S1 Tophat NS
2024-09-03 00:56:11.000 Z,REPL,73940242174,KZ8864891,A6JAT9,145,Q0437665,S1 Tophat NS
2024-09-03 00:56:12.000 Z,REPL,90440979271,AP5727431,35316174,79,Q8399589,S1 Tophat NS
2024-09-03 00:56:25.000 Z,REPL,73940073803,ZU3997119,A6JAT1,126,Q9873799,S1 Tophat NS
2024-09-03 00:57:05.000 Z,REPL,284B9428414,XY9963991,A6L179,52,Q4685527,S1 Tophat NS
2024-09-03 00:57:19.000 Z,REPL,39780045403,DT3275373,A6R763,96,Q5481596,S1 Tophat NS
2024-09-03 00:59:29.000 Z,REPL,14952736225,FG6883573,A6DAA5,121,Q4685527,S1 Tophat NS
2024-09-03 00:59:52.000 Z,REPL,68761895906,RTB3395043,39914301,182,Q0437665,S1 Tophat NS
2024-09-03 01:03:32.000 Z,REPL,14053941063,GN2968886,M079672,127,Q8952449,S1 Tophat NS
2024-09-03 01:04:03.000 Z,REPL,96033030762,HH1696834,1569905,76,Q4685527,S1 Tophat NS
2024-09-03 01:04:07.000 Z,REPL,73940073803,YR1592848,A6JAT5,207,Q9873799,S1 Tophat NS
2024-09-03 01:05:09.000 Z,REPL,88935822652,UE2528252,183378,71,Q8399589,S1 Tophat NS
2024-09-03 01:06:16.000 Z,REPL,39780770677,JW5684406,A72A19,293,Q5481596,S1 Tophat NS
2024-09-03 01:07:46.000 Z,REPL,285E5697872,IS9551716,15006461,72,Q9873799,S1 Tophat NS
2024-09-03 01:08:03.000 Z,REPL,88884871155,KZ1518296,1688401,78,Q4685527,S1 Tophat NS
